Year,Anaheim Ducks,Anaheim Ducks*,Arizona Coyotes,Arizona Coyotes*,Atlanta Thrashers,Atlanta Thrashers*,Boston Bruins,Boston Bruins*,Buffalo Sabres,Buffalo Sabres*,Calgary Flames,Calgary Flames*,Carolina Hurricanes,Carolina Hurricanes*,Chicago Blackhawks,Chicago Blackhawks*,Colorado Avalanche,Colorado Avalanche*,Columbus Blue Jackets,Columbus Blue Jackets*,Dallas Stars,Dallas Stars*,Detroit Red Wings,Detroit Red Wings*,Edmonton Oilers,Edmonton Oilers*,Florida Panthers,Florida Panthers*,Hartford Whalers,Hartford Whalers*,Los Angeles Kings,Los Angeles Kings*,Mighty Ducks of Anaheim,Mighty Ducks of Anaheim*,Minnesota North Stars,Minnesota North Stars*,Minnesota Wild,Minnesota Wild*,Montreal Canadiens,Montreal Canadiens*,Nashville Predators,Nashville Predators*,New Jersey Devils,New Jersey Devils*,New York Islanders,New York Islanders*,New York Rangers,New York Rangers*,Ottawa Senators,Ottawa Senators*,Philadelphia Flyers,Philadelphia Flyers*,Phoenix Coyotes,Phoenix Coyotes*,Pittsburgh Penguins,Pittsburgh Penguins*,Quebec Nordiques,Quebec Nordiques*,San Jose Sharks,San Jose Sharks*,Seattle Kraken,Seattle Kraken*,St. Louis Blues,St. Louis Blues*,Tampa Bay Lightning,Tampa Bay Lightning*,Toronto Maple Leafs,Toronto Maple Leafs*,Vancouver Canucks,Vancouver Canucks*,Vegas Golden Knights,Vegas Golden Knights*,Washington Capitals,Washington Capitals*,Winnipeg Jets,Winnipeg Jets*
1990,,,,,,,,3.61,,3.58,,4.35,,,,3.95,,,,,,,3.6,,,3.94,,,,3.44,,4.23,,,,3.55,,,,3.6,,,,3.69,,3.51,,3.49,,,3.63,,,,3.98,,3.0,,,,,,,3.69,,,,4.21,3.06,,,,,3.55,,3.73
1991,,,,,,,,3.74,,3.65,,4.3,,,,3.55,,,,,,,,3.41,,3.4,,,,2.98,,4.25,,,,3.2,,,,3.41,,,,3.4,2.79,,,3.71,,,3.15,,,,,4.28,2.95,,,,,,,3.88,,,3.01,,,3.04,,,,3.23,3.25,
1992,,,,,,,,3.38,,3.61,3.7,,,,,3.21,,,,,,,,4.0,,3.69,,,,3.09,,3.59,,,,3.08,,,,3.34,,,,3.61,3.64,,,4.01,,,3.15,,,,,4.29,3.19,,2.74,,,,,3.49,,,2.93,,,3.56,,,,4.13,,3.14
1993,,,,,,,,3.95,,3.99,,3.83,,,,3.32,,,,,,,,4.39,2.88,,,,3.38,,,4.02,,,3.24,,,,,3.88,,,,3.67,,3.99,3.62,,2.4,,3.8,,,,,4.37,,4.18,2.6,,,,,3.36,2.92,,,3.43,,4.12,,,,3.87,,3.83
1994,,,,,,,,3.44,,3.36,,3.6,,,,3.02,,,,,,3.4,,4.24,3.11,,2.77,,2.7,,3.5,,2.73,,,,,,,3.37,,,,3.64,,3.36,,3.56,2.39,,3.5,,,,,3.56,3.3,,,3.0,,,,3.21,2.67,,,3.33,,3.32,,,,3.3,2.92,
1995,,,,,,,,3.13,,2.71,,3.4,,,,3.25,,,,,,2.83,,3.75,2.83,,2.4,,2.65,,2.96,,2.6,,,,,,2.6,,,,,2.83,2.63,,,2.9,2.44,,,3.13,,,,3.77,,3.85,,2.69,,,,3.71,2.5,,,2.81,,3.19,,,,2.83,3.27,
1996,,,,,,,,3.44,3.01,,,2.94,,,,3.33,,3.98,,,2.77,,,3.96,2.93,,,3.1,2.89,,3.12,,2.85,,,,,,,3.23,,,2.62,,2.79,,,3.32,2.33,,,3.44,,,,4.41,,,3.07,,,,,2.67,,2.9,,3.01,,3.39,,,,2.85,,3.35
1997,,,,,,,2.85,,,2.89,2.61,,,,,2.72,,3.38,,,,3.07,,3.09,,3.07,,2.7,2.76,,2.61,,,2.99,,,,,,3.04,,,,2.82,2.93,,,3.15,,2.76,,3.34,,2.93,,3.48,,,2.57,,,,,2.88,2.65,,2.8,,3.13,,,,2.61,,,
1998,,,,,,,,2.7,,2.57,2.65,,2.44,,2.34,,,2.82,,,,2.95,,3.05,,2.62,2.48,,,,,2.77,2.5,,,,,,,2.87,,,,2.74,2.59,,2.4,,,2.35,,2.95,,2.73,,2.78,,,,2.56,,,,3.12,1.84,,2.37,,2.73,,,,,2.67,,
1999,,,,,,,,2.61,,2.52,2.57,,,2.56,2.46,,,2.91,,,,2.88,,2.99,,2.8,2.56,,,,2.3,,,2.62,,,,,2.24,,2.32,,,3.02,2.37,,2.65,,,2.91,,2.82,,2.5,,2.95,,,,2.39,,,,2.89,2.18,,,3.27,2.34,,,,2.44,,,
